SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster
95505.0,0,0,3,4,1,3
95506.0,0,0,3,4,1,3
95509.0,1,1,0,0,4,2
95510.0,1,1,0,0,4,2
95514.0,0,0,3,4,1,3
95519.0,0,2,1,3,3,0
95525.0,1,1,0,0,4,2
95531.0,1,2,2,0,4,2
95571.0,1,2,2,0,4,2
95591.0,1,1,0,1,5,4
95594.0,0,0,3,4,1,5
95602.0,0,0,1,3,3,0
95611.0,0,1,0,1,5,4
95622.0,1,1,0,1,5,4
95625.0,0,0,3,4,1,4
95652.0,1,1,0,0,4,2
95664.0,0,0,3,3,3,0
95665.0,0,0,3,3,3,0
95685.0,0,2,1,2,2,1
95690.0,0,0,1,3,3,0
95719.0,0,0,3,4,1,3
95720.0,1,1,0,1,5,4
95744.0,1,1,0,0,4,2
95748.0,0,0,3,3,1,3
95756.0,0,0,3,4,1,4
95761.0,0,0,3,4,1,5
95762.0,0,0,3,3,3,0
95765.0,0,0,1,3,3,0
95768.0,0,0,3,4,1,3
95775.0,1,1,0,0,4,2
95785.0,1,1,0,0,4,2
95792.0,0,0,3,4,1,3
95799.0,1,1,0,1,5,4
95803.0,0,0,1,3,3,0
95809.0,0,0,1,3,0,2
95849.0,1,1,0,1,5,4
95851.0,0,0,3,4,1,3
95870.0,1,2,2,2,2,1
95900.0,0,0,3,4,1,3
95903.0,0,0,3,4,1,3
95904.0,1,1,0,1,5,4
95915.0,0,0,1,3,3,0
95922.0,0,0,3,4,1,3
95950.0,0,0,3,4,1,3
95955.0,1,2,2,2,2,1
95968.0,1,1,0,1,5,4
95977.0,1,1,0,0,4,2
95990.0,1,1,0,1,5,4
95991.0,0,0,3,3,3,0
96008.0,0,0,3,4,1,3
96031.0,1,1,0,1,5,5
96035.0,1,1,0,1,5,4
96048.0,0,0,1,3,3,0
96050.0,1,1,2,0,4,2
96064.0,0,0,3,4,1,3
96074.0,1,2,2,2,2,1
96093.0,1,2,2,2,2,1
96097.0,1,2,2,0,4,2
96103.0,1,2,2,2,2,1
96116.0,1,1,0,0,4,2
96124.0,1,2,0,0,4,2
96133.0,0,0,1,3,3,0
96140.0,0,0,3,4,1,3
96150.0,0,0,3,3,3,2
96160.0,0,0,3,4,1,3
96186.0,0,2,2,2,2,1
96196.0,1,2,2,2,2,1
96198.0,1,1,0,1,5,4
