SEQN,P_cluster_1,P_cluster_2,P_cluster_3,max_posterior,entropy_raw,entropy_norm
93711.0,4.2464408714640104e-07,0.00011565237741742351,0.9998839229784944,0.9998839229784944,0.0011706804040814386,0.0010655992256382821
93717.0,7.172302302731708e-06,0.00443800471861349,0.9955548229790833,0.9955548229790833,0.02856335470608049,0.025999485897530736
93731.0,7.925103551748425e-06,0.9999401606506543,5.1914245793142355e-05,0.9999401606506543,0.0006651033226637794,0.0006054031340484184
93738.0,9.209616798681206e-06,0.0029578728837650037,0.9970329174994352,0.9970329174994352,0.02029400074250713,0.018472395541024155
93755.0,0.000125485318754913,0.9996877390374687,0.0001867756437752699,0.9996877390374687,0.0030430686226389633,0.002769920429643285
93758.0,0.9999999746307683,2.5333412544313068e-08,3.581935968439849e-11,0.9999999746307683,4.693410854398923e-07,4.272126666350079e-07
93760.0,0.0004113558978536465,0.999587883763031,7.603391158753835e-07,0.999587883763031,0.0036296959867773504,0.0033038916678947506
93763.0,0.0895031576717954,0.9104968331973063,9.130897075250125e-09,0.9104968331973063,0.30138697909424184,0.2743342507661415
93766.0,0.4281590892766353,0.5718191390070008,2.1771716362403572e-05,0.5718191390070008,0.683032455301205,0.6217229338743987
93770.0,4.53148284728569e-05,0.048920962750582705,0.9510337224209447,0.9510337224209447,0.19582201770293658,0.17824488195042784
93775.0,3.1119852096696766e-06,0.004260134598974488,0.995736753415817,0.995736753415817,0.02754735772732243,0.0250746855933308
93776.0,2.891808480632134e-07,1.9895185326227822e-05,0.9999798156338267,0.9999798156338267,0.00023990416477498024,0.00021837018140933537
93780.0,0.004332839971858013,0.9956671600280904,5.047745528466067e-14,0.9956671600280904,0.02790072729388988,0.025396336434316616
93789.0,2.818876385873999e-07,1.1857238284997976e-07,0.9999995995399777,0.9999995995399777,6.54278268768846e-06,5.955497453629004e-06
93801.0,0.003298447259245094,0.9967010829788236,4.697619312664591e-07,0.9967010829788236,0.022148643069726963,0.02016056373862213
93806.0,0.00017349213995929047,0.9972062332181792,0.0026202746418605375,0.9972062332181792,0.019868354734387042,0.018084955847776123
93811.0,4.07840152168298e-05,0.3526712347297571,0.647287981255025,0.647287981255025,0.6495198327109042,0.5912184302055662
