SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
94957.0,0,2,1,3,1,6,1,4,2
94966.0,0,2,2,3,1,6,1,4,2
94970.0,0,1,2,3,1,6,1,0,7
94998.0,0,2,1,3,1,2,4,0,8
95026.0,1,2,1,4,4,1,7,5,1
95048.0,1,2,1,4,4,1,7,5,1
95056.0,0,1,3,1,3,4,2,1,6
95060.0,1,0,0,2,2,3,3,3,4
95064.0,1,2,1,4,4,1,7,5,1
95077.0,1,2,1,4,4,2,7,5,1
95088.0,0,0,3,1,5,3,6,2,3
95096.0,0,1,2,3,3,6,2,0,2
95168.0,0,0,3,1,5,2,4,7,8
95171.0,0,1,3,1,3,4,2,1,6
95190.0,1,0,0,2,2,5,3,3,4
95206.0,1,0,0,2,2,5,0,7,0
95210.0,1,0,3,2,5,3,6,2,3
95213.0,1,2,0,4,4,1,7,3,4
95216.0,1,2,1,4,4,1,7,5,1
95233.0,0,1,3,1,3,4,2,8,5
95239.0,0,0,3,1,5,4,6,2,3
95257.0,1,0,0,2,2,5,0,7,0
95262.0,1,0,3,1,5,4,0,7,0
95275.0,1,0,0,2,2,5,0,7,0
95278.0,0,1,3,1,3,4,2,8,5
95279.0,1,2,1,4,4,2,7,5,1
95284.0,0,1,3,1,5,4,2,1,3
95289.0,0,0,3,1,5,3,6,2,3
95296.0,1,2,1,3,1,1,1,4,2
95302.0,1,0,0,2,5,5,0,7,0
95312.0,0,1,3,1,5,2,4,2,8
95313.0,1,0,0,2,2,5,3,7,0
95333.0,0,2,1,4,1,1,7,4,1
95342.0,1,0,0,2,2,5,0,7,0
95353.0,0,0,3,1,5,4,2,1,6
95366.0,0,1,3,1,3,4,2,1,6
95391.0,1,0,0,2,5,5,0,7,0
95393.0,0,0,3,1,5,3,6,2,3
95394.0,1,2,1,4,4,2,4,5,8
95423.0,1,0,0,2,2,5,0,7,0
95436.0,1,0,0,2,2,5,0,7,0
95445.0,1,0,0,2,5,5,0,7,0
95449.0,0,1,2,3,1,2,4,0,8
95450.0,1,2,1,4,4,1,7,3,7
95455.0,0,1,3,3,3,2,4,0,8
95465.0,1,0,0,2,5,3,6,2,3
95469.0,1,2,0,4,4,1,7,3,4
95472.0,1,2,1,4,4,1,7,5,1
95479.0,1,0,0,2,2,5,0,7,0
95505.0,1,2,1,4,4,1,7,3,1
95506.0,1,2,1,4,4,2,4,5,8
95509.0,1,0,0,2,5,3,6,2,7
95510.0,1,0,0,2,5,3,6,2,3
95514.0,1,2,1,4,4,2,4,5,8
95519.0,0,1,2,3,1,6,1,4,7
95525.0,1,0,0,2,5,3,6,2,3
95531.0,0,1,3,3,5,3,4,0,7
95571.0,0,0,3,1,5,3,6,2,3
